,Species_ORIGINAL,Species,Size (feet),Position,UTC_Date,Latitude__,Longitude
0,C. porosus,Crocodylus porosus,10,Mid-stream,2022-07-22,-12.2920907,131.2889247
1,C. porosus,Crocodylus porosus,12,Mid-stream,2022-07-22,-12.30464703,131.2911376
2,C. porosus,Crocodylus porosus,13,Shallow water on edge,2022-07-22,-12.32205928,131.2794159
3,C. porosus,Crocodylus porosus,11,Shallow water on edge,2022-07-22,-12.33156578,131.2696257
4,C. porosus,Crocodylus porosus,9,Shallow water on edge,2022-07-22,-12.33214133,131.2696765
5,C. porosus,Crocodylus porosus,8,Shallow water on edge,2022-07-22,-12.34075129,131.2688619
6,C. porosus,Crocodylus porosus,10,Shallow water on edge,2022-07-22,-12.34493321,131.2715857
7,C. porosus,Crocodylus porosus,11,Shallow water on edge,2022-07-22,-12.33677448,131.27793
8,C. porosus,Crocodylus porosus,8,Shallow water on edge,2022-07-22,-12.34028269,131.277408
9,C. porosus,Crocodylus porosus,15,Shallow water on edge,2022-07-22,-12.3410873,131.2817516
10,C. porosus,Crocodylus porosus,13,Mid-stream,2022-07-22,-12.34501475,131.2795014
11,C. porosus,Crocodylus porosus,13,Shallow water on edge,2022-07-22,-12.36377321,131.2888864
12,C. porosus,Crocodylus porosus,10,Shallow water on edge,2022-07-22,-12.36661121,131.2903933
13,C. porosus,Crocodylus porosus,14,Mid-stream,2022-07-22,-12.36921327,131.2911893
14,C. porosus,Crocodylus porosus,3,On bank,2022-07-22,-12.3768561,131.299966
15,C. porosus,Crocodylus porosus,9,Shallow water on edge,2022-07-22,-12.37690475,131.3051744
16,C. porosus,Crocodylus porosus,11,Shallow water on edge,2022-07-22,-12.38065727,131.3080086
17,C. porosus,Crocodylus porosus,10,Mid-stream,2022-07-22,-12.38070821,131.3080195
18,C. porosus,Crocodylus porosus,9,Shallow water on edge,2022-07-22,-12.38358431,131.3104763
19,C. porosus,Crocodylus porosus,12,Mid-stream,2022-07-22,-12.38470988,131.3088085
20,C. porosus,Crocodylus porosus,8,Shallow water on edge,2022-07-22,-12.38554985,131.311122
21,C. porosus,Crocodylus porosus,16,Shallow water on edge,2022-07-22,-12.38143799,131.3145977
22,C. porosus,Crocodylus porosus,5,Shallow water on edge,2022-07-22,-12.3812871,131.3173288
23,C. porosus,Crocodylus porosus,14,Shallow water on edge,2022-07-22,-12.37793349,131.3199714
24,C. porosus,Crocodylus porosus,10,Mid-stream,2022-07-22,-12.38139191,131.3246584
25,C. porosus,Crocodylus porosus,5,Shallow water on edge,2022-07-22,-12.38433751,131.3282087
26,C. porosus,Crocodylus porosus,5,Shallow water on edge,2022-07-22,-12.38433751,131.3282087
27,C. porosus,Crocodylus porosus,14,Shallow water on edge,2022-07-22,-12.39359559,131.325164
28,C. porosus,Crocodylus porosus,9,Shallow water on edge,2022-07-22,-12.39520287,131.3227191
29,C. porosus,Crocodylus porosus,12,Shallow water on edge,2022-07-22,-12.39606462,131.3155083
30,C. porosus,Crocodylus porosus,8,Shallow water on edge,2022-07-22,-12.39330139,131.3128654
31,C. porosus,Crocodylus porosus,12,Mid-stream,2022-07-22,-12.39341837,131.3122174
32,C. porosus,Crocodylus porosus,8,Shallow water on edge,2022-07-22,-12.39297478,131.3109846
33,C. porosus,Crocodylus porosus,8,Shallow water on edge,2022-07-22,-12.39378196,131.3075761
34,C. porosus,Crocodylus porosus,11,Shallow water on edge,2022-07-22,-12.3946366,131.3066964
35,C. porosus,Crocodylus porosus,15,Shallow water on edge,2022-07-22,-12.39804766,131.3052295
36,C. porosus,Crocodylus porosus,6,Shallow water on edge,2022-07-22,-12.40246899,131.3092347
37,C. porosus,Crocodylus porosus,9,Shallow water on edge,2022-07-22,-12.40252316,131.3092692
38,C. porosus,Crocodylus porosus,5,Mid-stream,2022-07-22,-12.40507475,131.3147852
39,C. porosus,Crocodylus porosus,11,Mid-stream,2022-07-22,-12.4075371,131.315832
40,C. porosus,Crocodylus porosus,11,Shallow water on edge,2022-07-22,-12.41079882,131.316989
41,C. porosus,Crocodylus porosus,10,Shallow water on edge,2022-07-22,-12.41538172,131.3141416
42,C. porosus,Crocodylus porosus,10,On bank,2022-07-22,-12.41410913,131.3127055
43,C. porosus,Crocodylus porosus,12,Shallow water on edge,2022-07-22,-12.41542263,131.3100712
44,C. porosus,Crocodylus porosus,12,Mid-stream,2022-07-22,-12.41369305,131.3078129
45,C. porosus,Crocodylus porosus,13,Mid-stream,2022-07-22,-12.41434802,131.3071398
46,C. porosus,Crocodylus porosus,8,Shallow water on edge,2022-07-22,-12.4130962,131.3039971
47,C. porosus,Crocodylus porosus,5,Shallow water on edge,2022-07-22,-12.41541792,131.3007618
48,C. porosus,Crocodylus porosus,4,Shallow water on edge,2022-07-22,-12.41969058,131.300783
49,C. porosus,Crocodylus porosus,9,Shallow water on edge,2022-07-22,-12.42391982,131.3008873
50,C. porosus,Crocodylus porosus,10,Mid-stream,2022-07-22,-12.4239698,131.3009612
51,C. porosus,Crocodylus porosus,8,Shallow water on edge,2022-07-22,-12.42514375,131.3006583
52,C. porosus,Crocodylus porosus,13,Shallow water on edge,2022-07-22,-12.42599162,131.3013681
53,C. porosus,Crocodylus porosus,11,Shallow water on edge,2022-07-22,-12.42435683,131.3021451
54,eyeshine,Crocodylus,0,Shallow water on edge,2022-07-22,-12.22252692,131.2408264
55,eyeshine,Crocodylus,0,Shallow water on edge,2022-07-22,-12.23608085,131.2615014
56,eyeshine,Crocodylus,0,Shallow water on edge,2022-07-22,-12.28710099,131.2791512
57,eyeshine,Crocodylus,0,Shallow water on edge,2022-07-22,-12.29148684,131.2832723
58,eyeshine,Crocodylus,0,Shallow water on edge,2022-07-22,-12.34557288,131.2712852
59,eyeshine,Crocodylus,0,Shallow water on edge,2022-07-22,-12.34556932,131.2712396
60,eyeshine,Crocodylus,0,Shallow water on edge,2022-07-22,-12.34338421,131.2638883
61,eyeshine,Crocodylus,0,Shallow water on edge,2022-07-22,-12.37579123,131.3039227
62,eyeshine,Crocodylus,0,Shallow water on edge,2022-07-22,-12.38115943,131.3079266
63,eyeshine,Crocodylus,0,Shallow water on edge,2022-07-22,-12.37879883,131.3238518
64,eyeshine,Crocodylus,0,In mangroves behind bank,2022-07-22,-12.38282712,131.3274527
65,eyeshine,Crocodylus,0,In mangroves behind bank,2022-07-22,-12.38844882,131.3282727
66,eyeshine,Crocodylus,0,Shallow water on edge,2022-07-22,-12.38894361,131.3262371
67,eyeshine,Crocodylus,0,Shallow water on edge,2022-07-22,-12.40004845,131.3067777
68,eyeshine,Crocodylus,0,Shallow water on edge,2022-07-22,-12.40106657,131.3067543
69,eyeshine,Crocodylus,0,In mangroves behind bank,2022-07-22,-12.40493519,131.3118645
70,eyeshine,Crocodylus,0,Shallow water on edge,2022-07-22,-12.40830312,131.3167431
71,eyeshine,Crocodylus,0,Shallow water on edge,2022-07-22,-12.41385721,131.310555
72,eyeshine,Crocodylus,0,Shallow water on edge,2022-07-22,-12.41278233,131.3066473
73,eyeshine,Crocodylus,0,Shallow water on edge,2022-07-22,-12.41611598,131.3008292
74,eyeshine,Crocodylus,0,Shallow water on edge,2022-07-22,-12.42061932,131.2992259
75,C. porosus,Crocodylus porosus,12,Shallow water on edge,2022-07-20,-12.41854871,131.3010279
76,C. porosus,Crocodylus porosus,10,Shallow water on edge,2022-07-20,-12.42618791,131.3015823
77,C. porosus,Crocodylus porosus,12,Shallow water on edge,2022-07-20,-12.42472492,131.3064911
78,C. porosus,Crocodylus porosus,8,Shallow water on edge,2022-07-20,-12.42399565,131.3087293
79,C. porosus,Crocodylus porosus,4,Shallow water on edge,2022-07-20,-12.42367275,131.3099651
80,C. porosus,Crocodylus porosus,12,Shallow water on edge,2022-07-20,-12.42507996,131.3105588
81,C. porosus,Crocodylus porosus,3,Shallow water on edge,2022-07-20,-12.42515086,131.3115958
82,C. porosus,Crocodylus porosus,5,Shallow water on edge,2022-07-20,-12.42385234,131.3133799
83,C. porosus,Crocodylus porosus,11,Shallow water on edge,2022-07-20,-12.42668641,131.3156857
84,C. porosus,Crocodylus porosus,11,Shallow water on edge,2022-07-20,-12.42669439,131.3157499
85,C. porosus,Crocodylus porosus,13,Shallow water on edge,2022-07-20,-12.42726224,131.318236
86,C. porosus,Crocodylus porosus,2,Shallow water on edge,2022-07-20,-12.43059055,131.3178732
87,C. porosus,Crocodylus porosus,3,Shallow water on edge,2022-07-20,-12.43107685,131.3192171
