#Data Set Export - Water Elevation (AHD).Publish@RN037411,
Timestamp (UTC+09:30),Value (m)
2011-10-19 08:40:00,90.883
2011-10-19 10:00:00,90.883
2011-10-19 11:00:00,90.879
2011-10-19 12:00:00,90.884
2011-10-19 13:00:00,90.882
2011-10-19 14:00:00,90.887
2011-10-19 15:00:00,90.889
2011-10-19 16:00:00,90.888
2011-10-19 17:00:00,90.883
2011-10-19 18:00:00,90.879
2011-10-19 19:00:00,90.877
2011-10-19 20:00:00,90.875
2011-10-19 21:00:00,90.876
2011-10-19 22:00:00,90.877
2011-10-19 23:00:00,90.873
2011-10-20 00:00:00,90.879
2011-10-20 01:00:00,90.88
2011-10-20 02:00:00,90.878
2011-10-20 03:00:00,90.878
2011-10-20 04:00:00,90.877
2011-10-20 05:00:00,90.871
2011-10-20 06:00:00,90.874
2011-10-20 07:00:00,90.871
2011-10-20 08:00:00,90.871
2011-10-20 09:00:00,90.875
2011-10-20 10:00:00,90.876
2011-10-20 11:00:00,90.88
2011-10-20 12:00:00,90.88
2011-10-20 13:00:00,90.882
2011-10-20 14:00:00,90.882
2011-10-20 15:00:00,90.883
2011-10-20 16:00:00,90.883
2011-10-20 17:00:00,90.878
2011-10-20 18:00:00,90.874
2011-10-20 19:00:00,90.871
2011-10-20 20:00:00,90.872
2011-10-20 21:00:00,90.869
2011-10-20 22:00:00,90.869
2011-10-20 23:00:00,90.866
2011-10-21 00:00:00,90.871
2011-10-21 01:00:00,90.871
2011-10-21 02:00:00,90.873
2011-10-21 03:00:00,90.87
2011-10-21 04:00:00,90.87
2011-10-21 05:00:00,90.865
2011-10-21 06:00:00,90.865
2011-10-21 07:00:00,90.864
2011-10-21 08:00:00,90.865
2011-10-21 09:00:00,90.865
2011-10-21 10:00:00,90.862
2011-10-21 11:00:00,90.866
2011-10-21 12:00:00,90.871
2011-10-21 13:00:00,90.875
2011-10-21 14:00:00,90.872
2011-10-21 15:00:00,90.874
2011-10-21 16:00:00,90.872
2011-10-21 17:00:00,90.867
2011-10-21 18:00:00,90.866
2011-10-21 19:00:00,90.862
2011-10-21 20:00:00,90.862
2011-10-21 21:00:00,90.861
2011-10-21 22:00:00,90.859
2011-10-21 23:00:00,90.86
2011-10-22 00:00:00,90.86
2011-10-22 01:00:00,90.863
2011-10-22 02:00:00,90.858
2011-10-22 03:00:00,90.861
2011-10-22 04:00:00,90.864
2011-10-22 05:00:00,90.858
2011-10-22 06:00:00,90.855
2011-10-22 07:00:00,90.856
2011-10-22 08:00:00,90.853
2011-10-22 09:00:00,90.853
2011-10-22 10:00:00,90.855
2011-10-22 11:00:00,90.857
2011-10-22 12:00:00,90.861
2011-10-22 13:00:00,90.86
2011-10-22 14:00:00,90.86
2011-10-22 15:00:00,90.859
2011-10-22 16:00:00,90.858
2011-10-22 17:00:00,90.855
2011-10-22 18:00:00,90.854
2011-10-22 19:00:00,90.848
2011-10-22 20:00:00,90.849
2011-10-22 21:00:00,90.85
2011-10-22 22:00:00,90.848
2011-10-22 23:00:00,90.849
2011-10-23 00:00:00,90.846
2011-10-23 01:00:00,90.852
2011-10-23 02:00:00,90.852
2011-10-23 03:00:00,90.851
2011-10-23 04:00:00,90.848
2011-10-23 05:00:00,90.845
2011-10-23 06:00:00,90.844
2011-10-23 07:00:00,90.846
2011-10-23 08:00:00,90.841
2011-10-23 09:00:00,90.845
2011-10-23 10:00:00,90.842
2011-10-23 11:00:00,90.844
2011-10-23 12:00:00,90.849
2011-10-23 13:00:00,90.855
2011-10-23 14:00:00,90.851
2011-10-23 15:00:00,90.852
2011-10-23 16:00:00,90.851
2011-10-23 17:00:00,90.847
2011-10-23 18:00:00,90.841
2011-10-23 19:00:00,90.843
2011-10-23 20:00:00,90.838
2011-10-23 21:00:00,90.838
2011-10-23 22:00:00,90.836
2011-10-23 23:00:00,90.836
2011-10-24 00:00:00,90.839
2011-10-24 01:00:00,90.841
2011-10-24 02:00:00,90.837
2011-10-24 03:00:00,90.84
2011-10-24 04:00:00,90.838
