,Location,Count
0,mcarthur river,6
1,king ash bay,5
2,crocodile creek,1
3,katherine river z2,1
4,donkey camp 1 (katherine),5
5,west arm,154
6,leeders creek boat ramp,5
7,nan,53
8,near tree point,172
9,middle arm,169
10,berry springs2,17
11,barra farm,6
12,gulnare rd,3
13,darwin river,62
14,buffalo creek,183
15,woods inlet,216
16,mitchell creek,125
17,jones creek,109
18,micket creek,254
19,kings creek,171
20,leanyer drain,34
21,berry creek,72
22,rapid creek,28
23,howard river,201
24,sadgroves creek,115
25,katherine gorge 2,1
26,crab claw island boat ramp,2
27,southport,108
28,belgrave rd,1
29,jefferis rd humpty doo,1
30,goanna park,8
31,rapid crk,1
32,"trailer boat club ramp, fannie bay",1
33,little howard mouth,1
34,darwin river dam ramp,2
35,pioneer creek,103
36,adelaide river township,2
37,elizabeth valley road,3
38,nitmulik  boat ramp,1
39,bleesers creek,154
40,barra farm adelaide river,1
41,darwin river dam,5
42,manton dam,19
43,goana park,1
44,fogg dam,52
45,melaluca rd howard park,1
46,elizabeth river bridge,1
47,wangi falls creek litchfield,1
48,howard r,1
49,harrason dam spill,1
50,"adelaide.r. township, community",1
51,gulnare road,5
52,howardsprings,1
53,botanical gardens,1
54,millsey's vh (k),1
55,barramunci dr bynoe,1
56,weevers rd lot 43 elezibeth valley,1
57,"elizebith r. freshwater, bees creek",1
58,hudson creek,112
59,nuckeys lagoon,1
60,sewage portel berrimah,1
61,berry springs1,13
62,harrison dam,22
63,daly river,8
64,walshies waterhole (flora),23
65,mcarthur river. rocky creek boat ramp,1
66,unknown,14
67,wangi creek downstream,53
68,wangi creek upstream,77
69,howard r  h/doo,1
70,manton dam rail way bridge,1
71,ballongilly (katherine),29
72,leeders creek,18
73,mcarthur river rocky creek boat ramp,7
74,duck island,1
75,rocky creek boat ramp,6
76,bay view mariner,1
77,junction council boat ramp,2
78,koolapinyah lambells side,1
79,mckenzie arm,2
80,king ash bay boat ramp,1
81,palmerston swmming pool,1
82,bees creek,4
83,adelaide river,1
84,ngukurr (roper),5
85,middle point barra farm,1
86,racecourse creek,1
87,djarrung waterhole,3
88,mc arthur river rocky creek boat ramp,1
89,nitmiluk national park - 1st gorge,1
90,wangi creek,3
91,"horsenel rd 21,elizabeth r",1
92,south port,1
93,little howard trap,1
94,little howard,6
95,little howard river,162
96,howard river park drains,2
97,manton dam west,8
98,shady camp,1
99,goyder river crossing,3
100,"horne rd 110, bees creek",1
101,"big tree boatramp, elsey station",1
102,holmes jungle creek,1
103,manyimi,14
104,gayngaru,6
105,daliwuy,1
106,rocky bay creek,9
107,"howard river, park.",1
108,"durak golf course, 6 hole pond",1
109,mcminns lagoon,2
110,howard river park drain,1
111,galloping jacks - herseys pump,1
112,miniata (katherine),3
113,"gulnar rd up stream, bees creek",1
114,"17 horsnell rd, elizabith vally rd",1
115,elizabith river salt section,1
116,"elizabith r, horsnell rd 21",1
117,elizabeth river salt section,1
118,"elizabeth fresh, bees creek rd",1
119,bees creek rd,3
120,taylors park,7
121,douglas daly,11
122,race course creek,2
123,595 bees creek rd,2
124,manton river,2
125,gorrk,2
126,elizabeth river bridge highway,1
127,"manton r, train bridge",1
128,solar village creek,1
129,elizabith salt,1
130,katherine gorge boat ramp,1
131,knuckys lagoon area,1
132,horne rd bees creek down stream,1
133,elizabith river salt,1
134,jepp rd,1
135,douglas river crossing,1
136,hicks rd,1
137,arafura pearl farm elizabeth bay,3
138,borraloola- rocky creek boat ramp,1
139,"cascade falls creek, litchfield park",1
140,knuckeys lagoon,3
141,"darwin river fresh, old bynoe rd",2
142,daly river community,14
